Timestamp_PC,Timestamp_ESP,Raw_Hex,NMEA
10:27:51.016,21369,08D84835F8190C4E3FFCFFFCFC3FFFFFD4FCD1FFFFFFFFFEEB33F4D1FF3FFFF3CFFFFFFFFD7F,"!AIVDM,1,1,,A,2=Q8=OPI34pww?wtw3wwwuCtlOwwwwwvrk?llOtwww??wwww,0*59"
10:27:51.434,21787,7FFFFF9FFF9FFF3BBE7796EE63DD7B54FC10C2748F2DCB21D279FFF281B01EF4B0850F76D51FFFFFFCD1FFBFFFFFFFFFF377EDC334251380C4B2F823F16CD7B7F8BB56716F1B30ED36FF72399538EB83B1C0F0347FFFE7FFFFFFFF959E,"!AIVDM,1,1,,A,OwwwWwvOwkfvMqKfHumsE?h@hWB?;LdQlWWwt`6h7gBhQ@unmAwwwwkAwswwwwwwtoOehk@U4p34dgPStFkGewRsEW5g6k3e=guj>IDprp>ih?0lOwwWwwwwwh,0*15"
10:27:53.193,23545,7FFD89DFE6499DE730CF3A49D89C8F0B43DE5B6B1D,"!AIVDM,1,1,,A,Own9ovI9WNLhkka9n9j?2l?NFh,0*46"
10:27:55.317,25669,79091CF688D266B42C5F02244B37A853959BA7F54CEADA954EDFC9F2FFFFFFFFFCCFFF2436FFDFB7FD26608FFE1FEC,"!AIVDM,1,1,,A,N@TLu`SBIc@dGh8TBkN`DqFKawE<rebECew9tgwwwwwtkwtT=gwOewlVH8wv,0*66"
10:27:55.817,26169,6464E7A83FA21A35DDB4CBA087FFFDFFFEABFFFFA97597FFE7FF2765FAFFEFE20AB8349F8F536A0DB6870A24F0DBB5E082316E4A8B2AB15D6C779E3223F3FFEABFFFFACADEFFFEFFE4F7FFFDC043E0A96909792734A91533A1FF53FD57490CDA2C55332A3F8BFA8DA1A39CFFFECFFFAAFFFFF4F347FFFFFFA9A5FFFFFF7FFFFFFFCFFFCC3EEA373F25C2EA8E150FD65B6F68646D6FBFFEF38DEEC9FD8AD3FA50BFFFFFAB67FCAFFFFEA2953FFFBFFA,"!AIVDM,1,1,,A,I6CWb3vR6SGMe<fPQwwuwwrcwwvaMIOwqwtWIOcwsv8"
10:27:55.986,26338,4C01D03DE52092485DFC468E3DFB282B49B614577921734272E20EB51FFFFFFFFFFF87FFFFFF5A2BCBDFFFFFFD9709BDD39DD8D4FD1DA29E0E761E2C6FCC9CA8F5DCFC4A,"!AIVDM,1,1,,A,C07@?NDPTTQMw4J>?Od`"
10:27:57.717,28070,7FFFFFFFFB75FFEBFFEF733FE1E45BD37FF58D45A17533ADE0F70593FF442C6FD3131E1B12FD1CB3,"!AIVDM,1,1,,A,Owwwwwemwvgwso<wpNAKlowmSDFQMC>ep?L5Twu4;6wC4ipK4gl,0*1C"
10:27:57.971,28324,8CF7F5652EBFFFFFFFFFFF3D7F76FFFBA7F7BFC557E2C9ABFFEB40ACBCFA33FC3D36288FC6BCBE2252DC5A93D19ED53805B979A54E765FFFFFFFFF9D,"!AIVDM,1,1,,A,S?OmIBrwwwwwwwtuOoKwvrOogtEGpdVcwve0c;kr<whu=RR?icjv8U;LFa?AWeDp1KUqaDqnGwwwwh,0*36"
10:28:00.481,30834,17584FD27FB4A776BFFC3F892F377D1CB0E2C0B04FFFE3BBFFEBCFFFF3FFFFFFFFFF9E,"!AIVDM,1,1,,A,5mQ?lWvlaoJww3v9;kMu7;3Rh;1?wv>swvg?ww?wwwww,0*0C"
10:28:02.480,32833,44FFFD2AFFFFFFFFFFBC9FFEDF7FFFFFF3FFFFFFFFE7DFFD474F86825618BB93FD5C1EFD2B5EC7102686D57961349FE9C44EA7FFEECFFFFFFFFFFCFBFFFBDBFFBFFFFFFFFFF33FF9FF98D4FA3B32AF65,"!AIVDM,1,1,,A,A?wu"
10:28:02.732,33084,DC7748D678826E6969F1C26068599FBF3B96BCFF0EDA9C4D779D319FD7ACD52588,"!AIVDM,1,1,,A,o7M8mWR2KVUatL9PJ5VOgkfFg?t>nai=MqliWuNdm@,0*36"
10:28:04.230,34582,BFFFFFFFE7FFFFFFEF1D91DD02EF34E9D5D9FCFF72D19CC085E618E3382B2AB7070DE135FDFCAEBFFFFFFFDBFE67FFAFC3FFF8FFFFFFFFF3CCF63BA75752F63661A7960FE16271D3AF8BB91E123FB836AE03ACFFFFFFCFFFFFFFDF,"!AIVDM,1,1,,A,gwwwwvOwwwwg7I7M0ftlrMGIw?ujlIk0QNHHpkPc"
10:28:04.797,35150,718B75068C818652DDE3FB0F1CAD4BDD12ADA7AD8148EA4D3222E7081EC7FFFE7FF9FFFFFFE8FAB2A3055F91356BDD19A0D3AAEDBAC4FCB039D862A523E24C6FDDCD96D0BEF6FFFFFFEC,"!AIVDM,1,1,,A,LHem1`j1QU;Mpwd?7"
